PointNo_,X,Y,Z,grad,angle,turn,d,Distance
33,62.5864674842616,95.5028372737316,10.4453333333333,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1815
33,63.3147446048259,94.8569974159773,10.4030222222222,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1816
33,64.0430217253902,94.211157558223,10.3607111111111,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1817
33,64.7712988459545,93.5653177004687,10.3184,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1818
33,65.4995759665188,92.9194778427144,10.2760888888889,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1819
33,66.2278530870831,92.2736379849602,10.2337777777778,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1820
33,66.9561302076474,91.6277981272059,10.1914666666667,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1821
33,67.6844073282117,90.9819582694516,10.1491555555556,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1822
33,68.412684448776,90.3361184116973,10.1068444444444,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1823
33,69.1409615693403,89.690278553943,10.0645333333333,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1824
33,69.8692386899046,89.0444386961887,10.0222222222222,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1825
33,70.5975158104689,88.3985988384345,9.97991111111111,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1826
33,71.3257929310332,87.7527589806802,9.9376,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1827
33,72.0540700515975,87.1069191229259,9.89528888888889,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1828
33,72.7823471721618,86.4610792651716,9.85297777777778,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1829
33,73.5106242927261,85.8152394074173,9.81066666666666,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1830
33,74.2389014132904,85.1693995496631,9.76835555555555,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1831
33,74.9671785338547,84.5235596919088,9.72604444444444,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1832
33,75.695455654419,83.8777198341545,9.68373333333333,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1833
33,76.4237327749833,83.2318799764002,9.64142222222222,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1834
33,77.1520098955476,82.5860401186459,9.59911111111111,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1835
33,77.8802870161119,81.9402002608916,9.5568,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1836
33,78.6085641366762,81.2943604031374,9.51448888888889,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1837
33,79.3368412572405,80.6485205453831,9.47217777777777,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1838
33,80.0651183778048,80.0026806876288,9.42986666666666,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1839
33,80.7933954983691,79.3568408298745,9.38755555555555,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1840
33,81.5216726189334,78.7110009721202,9.34524444444444,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1841
33,82.2499497394977,78.0651611143659,9.30293333333333,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1842
33,82.978226860062,77.4193212566117,9.26062222222222,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1843
33,83.7065039806263,76.7734813988574,9.21831111111111,-0.0423111111111076,-2.42497200350591,41.5667749643231,1,1844
34,84.4347811011906,76.1276415411035,9.176,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1845
34,85.2076304400346,75.4454533747009,9.17634375,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1846
34,85.9804797788786,74.7632652082982,9.1766875,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1847
34,86.7533291177226,74.0810770418955,9.17703125,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1848
34,87.5261784565666,73.3988888754929,9.177375,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1849
34,88.2990277954105,72.7167007090902,9.17771875,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1850
34,89.0718771342545,72.0345125426875,9.1780625,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1851
34,89.8447264730985,71.3523243762849,9.17840625000001,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1852
34,90.6175758119425,70.6701362098822,9.17875000000001,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1853
34,91.3904251507865,69.9879480434795,9.17909375000001,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1854
34,92.1632744896305,69.3057598770769,9.17943750000001,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1855
34,92.9361238284744,68.6235717106742,9.17978125000001,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1856
34,93.7089731673184,67.9413835442715,9.18012500000001,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1857
34,94.4818225061624,67.2591953778688,9.18046875000001,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1858
34,95.2546718450064,66.5770072114662,9.18081250000001,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1859
34,96.0275211838504,65.8948190450635,9.18115625000001,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1860
34,96.8003705226944,65.2126308786608,9.18150000000001,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1861
34,97.5732198615383,64.5304427122582,9.18184375000001,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1862
34,98.3460692003823,63.8482545458555,9.18218750000001,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1863
34,99.1189185392263,63.1660663794528,9.18253125000001,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1864
34,99.8917678780703,62.4838782130502,9.18287500000002,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1865
34,100.664617216914,61.8016900466475,9.18321875000002,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1866
34,101.437466555758,61.1195018802448,9.18356250000002,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1867
34,102.210315894602,60.4373137138422,9.18390625000002,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1868
34,102.983165233446,59.7551255474395,9.18425000000002,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1869
34,103.75601457229,59.0729373810368,9.18459375000002,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1870
34,104.528863911134,58.3907492146342,9.18493750000002,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1871
34,105.301713249978,57.7085610482315,9.18528125000002,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1872
34,106.074562588822,57.0263728818288,9.18562500000002,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1873
34,106.847411927666,56.3441847154262,9.18596875000002,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1874
34,107.62026126651,55.6619965490235,9.18631250000002,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1875
34,108.393110605354,54.9798083826208,9.18665625000002,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1876
34,109.165959944198,54.2976202162182,9.18700000000002,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1877
34,109.938809283042,53.6154320498155,9.18734375000003,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1878
34,110.711658621886,52.9332438834128,9.18768750000003,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1879
34,111.48450796073,52.2510557170102,9.18803125000003,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1880
34,112.257357299574,51.5688675506075,9.18837500000003,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1881
34,113.030206638418,50.8866793842048,9.18871875000003,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1882
34,113.803055977262,50.2044912178022,9.18906250000003,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1883
34,114.575905316106,49.5223030513995,9.18940625000003,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1884
34,115.34875465495,48.8401148849968,9.18975000000003,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1885
34,116.121603993794,48.1579267185942,9.19009375000003,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1886
34,116.894453332638,47.4757385521915,9.19043750000003,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1887
34,117.667302671482,46.7935503857888,9.19078125000003,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1888
34,118.440152010326,46.1113622193862,9.19112500000003,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1889
34,119.21300134917,45.4291740529835,9.19146875000003,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1890
34,119.985850688014,44.7469858865808,9.19181250000003,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1891
34,120.758700026858,44.0647977201781,9.19215625000004,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1892
34,121.531549365702,43.3826095537755,9.19250000000004,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1893
34,122.304398704546,42.7004213873728,9.19284375000004,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1894
34,123.07724804339,42.0182332209701,9.19318750000004,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1895
34,123.850097382234,41.3360450545675,9.19353125000004,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1896
34,124.622946721078,40.6538568881648,9.19387500000004,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1897
34,125.395796059922,39.9716687217621,9.19421875000004,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1898
34,126.168645398766,39.2894805553595,9.19456250000004,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1899
34,126.94149473761,38.6072923889568,9.19490625000004,0.000343750000000753,0.0196954245955471,41.4345964572095,1,1900
34,127.714344076454,37.9251042225541,9.19525000000004,0.000343750000000753,0.0196954245955471,41.43459645721,1,1901
34,128.487193415298,37.2429160561515,9.19559375000004,0.000343750000000753,0.0196954245955471,41.43459645721,1,1902
34,129.260042754142,36.5607278897488,9.19593750000004,0.000343750000000753,0.0196954245955471,41.43459645721,1,1903
34,130.032892092986,35.8785397233461,9.19628125000004,0.000343750000000753,0.0196954245955471,41.43459645721,1,1904
34,130.80574143183,35.1963515569435,9.19662500000005,0.000343750000000753,0.0196954245955471,41.43459645721,1,1905
34,131.578590770674,34.5141633905408,9.19696875000005,0.000343750000000753,0.0196954245955471,41.43459645721,1,1906
34,132.351440109517,33.8319752241381,9.19731250000005,0.000343750000000753,0.0196954245955471,41.43459645721,1,1907
34,133.124289448361,33.1497870577355,9.19765625000005,0.000343749999952792,0.0196954245927991,41.4345964572117,1,1908
35,133.897138787205,32.4675988913328,9.198,-0.00495121951219524,-0.283685140569753,46.0347866140216,1,1909
35,134.446720539272,31.8977984126013,9.19304878048781,-0.00495121951219524,-0.283685140569753,46.0347866140216,1,1910
35,134.996302291339,31.3279979338698,9.18809756097561,-0.00495121951219524,-0.283685140569753,46.0347866140216,1,1911
35,135.545884043406,30.7581974551383,9.18314634146341,-0.00495121951219524,-0.283685140569753,46.0347866140216,1,1912
35,136.095465795473,30.1883969764068,9.17819512195122,-0.00495121951219524,-0.283685140569753,46.0347866140216,1,1913
35,136.64504754754,29.6185964976753,9.17324390243902,-0.00495121951219524,-0.283685140569753,46.0347866140216,1,1914
35,137.194629299606,29.0487960189438,9.16829268292683,-0.00495121951219524,-0.283685140569753,46.0347866140216,1,1915
35,137.744211051673,28.4789955402123,9.16334146341463,-0.00495121951219524,-0.283685140569753,46.0347866140216,1,1916
35,138.29379280374,27.9091950614808,9.15839024390244,-0.00495121951219524,-0.283685140569753,46.0347866140216,1,1917
