PointID,Long,Lat,Z,X,Y,Distance,d,TurnR,Grad,angle
183,-0.00938,51.539835,5.779004988,148.3584937,237.8486143,340.2046483,1.993710578,NaN,-0.004659018,-0.266940135
184,-0.009387088,51.53985228,5.769716254,147.8676714,239.770712,342.1983589,1.993710578,NaN,-0.003533346,-0.202444983
185,-0.009394429,51.53986953,5.762671785,147.3593269,241.690038,344.1920695,1.993710578,NaN,-0.002671675,-0.15307532
186,-0.009402019,51.53988675,5.757345239,146.8338142,243.6064795,346.18578,1.993710578,NaN,-0.002077993,-0.119060063
187,-0.009409851,51.53990395,5.753202322,146.2914869,245.5199236,348.1794906,1.993710578,NaN,-0.001752272,-0.100397716
188,-0.009417921,51.53992112,5.749708798,145.732699,247.4302574,350.1732012,1.993710578,NaN,-0.001637986,-0.093849599
189,-0.009426223,51.53993826,5.746443128,145.1578043,249.3373681,352.1669118,1.993710578,NaN,-0.001560577,-0.089414376
190,-0.009434753,51.53995537,5.74333179,144.5671566,251.2411428,354.1606223,1.993710578,NaN,-0.001486455,-0.085167539
191,-0.009443505,51.53997245,5.740368228,143.9611098,253.1414687,356.1543329,1.993710578,NaN,-0.001415622,-0.081109089
192,-0.009452475,51.5399895,5.737545889,143.3400178,255.0382329,358.1480435,1.993710578,NaN,-0.001348076,-0.077239025
193,-0.009461657,51.54000652,5.734858215,142.7042342,256.9313225,360.1417541,1.993710578,NaN,-0.001283819,-0.073557348
194,-0.009471046,51.5400235,5.732298652,142.0541131,258.8206248,362.1354647,1.993710578,NaN,-0.001222849,-0.070064057
195,-0.009480637,51.54004044,5.729860645,141.3900082,260.7060268,364.1291752,1.993710578,NaN,-0.001165168,-0.066759154
196,-0.009490425,51.54005735,5.727537638,140.7122734,262.5874158,366.1228858,1.993710578,NaN,-0.001110774,-0.063642637
197,-0.009500404,51.54007423,5.725323076,140.0212625,264.4646787,368.1165964,1.993710578,NaN,-0.001059668,-0.060714508
198,-0.009510571,51.54009106,5.723210404,139.3173293,266.3377028,370.110307,1.993710578,NaN,-0.001011851,-0.057974766
199,-0.009520919,51.54010786,5.721193066,138.6008278,268.2063753,372.1040175,1.993710578,NaN,-0.000967321,-0.055423411
200,-0.009531443,51.54012461,5.719264508,137.8721117,270.0705832,374.0977281,1.993710578,NaN,-0.00092608,-0.053060443
201,-0.009542138,51.54014133,5.717418173,137.1315348,271.9302138,376.0914387,1.993710578,NaN,-0.000896567,-0.051369494
202,-0.009553,51.540158,5.715647506,136.3794511,273.7851541,378.0851493,1.974940308,NaN,-0.000853613,-0.048908432
203,-0.009563933,51.54017447,5.713961671,135.6224454,275.6173771,380.0600896,1.974940308,NaN,-0.0008225,-0.047125795
204,-0.009575106,51.54019087,5.712337281,134.8488066,277.4416672,382.0350299,1.974940308,NaN,-0.000794614,-0.045528016
205,-0.009586601,51.54020716,5.710767966,134.0528455,279.2548045,384.0099702,1.974940308,NaN,-0.000769997,-0.044117561
206,-0.009598502,51.54022333,5.709247269,133.228873,281.0535692,385.9849105,1.974940308,NaN,-0.000749646,-0.042951534
207,-0.009610888,51.54023934,5.707766763,132.3711999,282.8347414,387.9598508,1.974940308,NaN,-0.000734561,-0.04208723
208,-0.009623844,51.54025516,5.706316049,131.4741372,284.5951012,389.9347911,1.974940308,NaN,-0.000724786,-0.041527155
209,-0.009637451,51.54027077,5.70488464,130.5319957,286.3314289,391.9097314,1.974940308,NaN,-0.00072032,-0.04127131
210,-0.009651791,51.54028613,5.703462051,129.5390864,288.0405045,393.8846717,1.974940308,NaN,-0.000721165,-0.041319695
211,-0.009666947,51.54030122,5.702037793,128.48972,289.7191082,395.859612,1.974940308,NaN,-0.000720406,-0.041276222
212,-0.009683,51.540316,5.700601381,127.3782074,291.3640202,397.8345524,1.993891889,NaN,-0.000738855,-0.042333283
213,-0.009700138,51.54033061,5.699128184,126.1916202,292.9895129,399.8284442,1.993891889,NaN,-0.000766087,-0.043893568
214,-0.009717975,51.54034497,5.697600688,124.956583,294.5875754,401.8223361,1.993891889,NaN,-0.000862089,-0.049394038
215,-0.009736213,51.54035918,5.695881776,123.6937894,296.1684011,403.816228,1.993891889,NaN,-0.001044016,-0.059817709
216,-0.009754553,51.54037333,5.693800121,122.4239328,297.7421832,405.8101199,1.993891889,NaN,-0.001311879,-0.075165065
217,-0.009772697,51.5403875,5.691184376,121.1677069,299.3191149,407.8040118,1.993891889,NaN,-0.001665676,-0.095436094
218,-0.009790344,51.54040179,5.687863199,119.945805,300.9093896,409.7979037,1.993891889,NaN,-0.002105407,-0.120630775
219,-0.009807198,51.5404163,5.683665245,118.7789207,302.5232006,411.7917956,1.993891889,NaN,-0.002631074,-0.150749073
220,-0.009822957,51.54043111,5.678419168,117.6877474,304.170741,413.7856875,1.993891889,NaN,-0.003242675,-0.185790934
221,-0.009837324,51.54044631,5.671953625,116.6929787,305.8622042,415.7795794,1.993891889,NaN,-0.004353674,-0.249445581
222,-0.00985,51.540462,5.664097271,115.815308,307.6077834,417.7734712,1.80453426,51.8706675,-0.004683887,-0.268365022
223,-0.009859879,51.54047667,5.655645035,115.1312777,309.2396293,419.5780055,1.80453426,51.8706675,-0.005462978,-0.313002481
224,-0.009868594,51.54049171,5.645786904,114.5278672,310.9129996,421.3825398,1.80453426,51.8706675,-0.006245879,-0.357857829
225,-0.00987661,51.54050702,5.634516002,113.9728339,312.616744,423.187074,1.80453426,51.8706675,-0.006889722,-0.394745772
226,-0.009884393,51.54052251,5.622083262,113.4339353,314.3397125,424.9916083,1.80453426,51.8706675,-0.007375912,-0.422600962
227,-0.009892408,51.54053807,5.608773176,112.8789287,316.0707547,426.7961425,1.80453426,51.8706675,-0.007704447,-0.441423573
228,-0.009901122,51.5405536,5.594870237,112.2755714,317.7987205,428.6006768,1.80453426,51.8706675,-0.007673048,-0.43962463
229,-0.009911,51.540569,5.580658938,111.5916209,319.5124597,430.4052111,1.852106174,51.8706675,-0.007887325,-0.451901081
230,-0.009922761,51.54058454,5.566050774,110.7772646,321.2413165,432.2573172,1.852106174,51.8706675,-0.007734824,-0.443163952
231,-0.009936288,51.54059954,5.551725058,109.8407233,322.9099668,434.1094234,1.852106174,51.8706675,-0.007416247,-0.424911874
232,-0.009951627,51.54061369,5.537989381,108.7786756,324.4849363,435.9615296,1.852106174,51.8706675,-0.006931594,-0.397144712
233,-0.009968826,51.54062671,5.525151333,107.5878002,325.9327511,437.8136358,1.852106174,51.8706675,-0.006280864,-0.359862284
234,-0.009987935,51.54063828,5.513518506,106.2647756,327.219937,439.6657419,1.852106174,51.8706675,-0.005125214,-0.293650554
235,-0.010009,51.5406481,5.503398489,104.8062804,328.3130198,441.5178481,1.97455497,51.8706675,-0.004444905,-0.254672615
236,-0.010033553,51.54065649,5.49462178,103.10633,329.2460235,443.4924031,1.97455497,51.8706675,-0.00320828,-0.183820253
237,-0.010059756,51.54066321,5.488286856,101.2920679,329.9944583,445.466958,1.97455497,51.8706675,-0.001782893,-0.102152113
238,-0.010086984,51.54066895,5.484766436,99.40693298,330.6324189,447.441513,1.97455497,51.8706675,-0.000168744,-0.009668305
239,-0.010114607,51.54067435,5.484433242,97.49436408,331.2340003,449.416068,1.97455497,51.8706675,0.001745756,0.100024338
240,-0.010142,51.5406801,5.487603773,95.59780014,331.873297,451.390623,1.81613653,51.8706675,0.003192456,0.182913626
241,-0.010166549,51.54068615,5.493401709,93.8981416,332.5466018,453.2067595,1.81613653,NaN,0.004453491,0.255164571
242,-0.010190464,51.54069294,5.501489857,92.24230166,333.3021531,455.022896,1.81613653,NaN,0.00546048,0.312859352
243,-0.01021384,51.54070036,5.511406834,90.6238108,334.1276086,456.8390325,1.81613653,NaN,0.006213422,0.355998278
244,-0.010236771,51.5407083,5.522691257,89.0361995,335.0106259,458.6551691,1.81613653,NaN,0.006712317,0.384581674
245,-0.010259348,51.54071664,5.534881742,87.47299824,335.9388628,460.4713056,1.81613653,NaN,0.006957166,0.398609803
246,-0.010281667,51.54072528,5.547516905,85.9277375,336.8999768,462.2874421,1.81613653,NaN,0.006947967,0.398082807
247,-0.010303819,51.5407341,5.560135362,84.39394776,337.8816256,464.1035787,1.81613653,NaN,0.006296696,0.360769314
248,-0.0103259,51.540743,5.572275731,82.86515948,338.871467,465.9197152,1.928053931,NaN,0.006146113,0.352141884
249,-0.010349345,51.54075243,5.584125768,81.24189394,339.9202699,467.8477691,1.928053931,NaN,0.005355457,0.306842155
250,-0.010372797,51.54076183,5.594451378,79.61814057,340.966323,469.7758231,1.928053931,NaN,0.004550786,0.260739032
251,-0.01039624,51.54077122,5.603225539,77.99506608,342.0115534,471.703877,1.928053931,NaN,0.003804063,0.217955715
252,-0.010419655,51.54078063,5.610559978,76.3738372,343.0578884,473.6319309,1.928053931,NaN,0.003115317,0.178493932
253,-0.010443028,51.54079006,5.616566476,74.75562064,344.107255,475.5599848,1.928053931,NaN,0.002484547,0.142353769
254,-0.01046634,51.54079954,5.621356817,73.14158313,345.1615804,477.4880388,1.928053931,NaN,0.001911754,0.109535289
255,-0.010489574,51.54080907,5.625042782,71.53289139,346.2227919,479.4160927,1.928053931,NaN,0.001396937,0.080038541
256,-0.010512715,51.54081869,5.627736151,69.93071214,347.2928167,481.3441466,1.928053931,NaN,0.000940097,0.053863557
257,-0.010535745,51.54082841,5.629548709,68.3362121,348.3735818,483.2722006,1.928053931,NaN,0.000541233,0.031010358
258,-0.010558647,51.54083823,5.630592235,66.75055799,349.4670145,485.2002545,1.928053931,NaN,0.000200346,0.011478958
259,-0.010581404,51.54084819,5.630978512,65.17491652,350.575042,487.1283084,1.928053931,NaN,-8.39E-05,-0.004806829
260,-0.010604,51.5408583,5.630819322,63.61045443,351.6995914,489.0563624,1.897492117,NaN,-0.000306021,-0.017533688
